attributes_preserved,attributes_missing,attributes_added,attributes_total_baseline,classes_preserved,classes_missing,classes_added,classes_total_baseline,enum_values_preserved,enum_values_missing,enum_values_added,enum_values_total_baseline,enums_preserved,enums_missing,enums_added,enums_total_baseline,packages_preserved,packages_missing,packages_added,packages_total_baseline,relationships_preserved,relationships_missing,relationships_added,relationships_total_baseline,Overall_Preservation_%,Total_Baseline_Elements,Total_Preserved_Elements,Total_Added_Elements,File,Address,CollectionPoint,CollectionRequest,Coordinates,NotificationService,NotificationTemplate,OpeningHours,PlatformManager,Product,RoleManager,RoleManager <<service>>,RoutePlan,SearchFilter,ServiceProvider,ServiceRequest,ServiceRequestDetails,TimeRange,TransportRequest,User,UserAccount,UserCredentials,UserProfile,ValidationResult,WasteJourney,WasteTracking,TotalMethodsInScope,Model,Run,Target_Class_Methods,Extra_Methods_Count,Unique_Method_Names,Redundancy,ParamRichness,ReturnTypeCompleteness,Percentage_Methods_With_UC,Percentage_Methods_With_Action,Percentage_Methods_With_Both,Percentage_Methods_Without
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run1.json,0,1,1,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,5,2,2,0,2,0,22,Mistral,1,22,0,22,1.0,2.0454545454545454,68.18181818181819,95.45454545454545,0.0,0.0,4.545454545454546
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run10.json,0,1,1,0,1,0,0,0,2,1,0,0,1,1,1,0,0,1,0,7,0,0,0,1,0,18,Mistral,10,18,0,17,1.0588235294117647,2.5555555555555554,100.0,94.44444444444444,0.0,0.0,5.555555555555555
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run2.json,0,1,1,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,5,2,1,0,1,0,20,Mistral,2,20,0,20,1.0,0.0,0.0,0.0,0.0,0.0,100.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run3.json,0,1,1,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,5,2,1,0,2,0,21,Mistral,3,21,0,21,1.0,2.0952380952380953,71.42857142857143,95.23809523809524,0.0,0.0,4.761904761904762
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run4.json,0,1,1,0,2,0,0,0,2,1,0,1,1,1,1,0,0,1,0,5,2,1,0,2,0,22,Mistral,4,22,0,22,1.0,2.0,86.36363636363636,90.9090909090909,0.0,0.0,9.090909090909092
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run5.json,0,1,1,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,5,3,2,0,2,0,23,Mistral,5,23,0,23,1.0,1.826086956521739,69.56521739130434,91.30434782608695,0.0,0.0,8.695652173913043
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run6.json,0,1,1,0,1,0,0,0,2,1,0,1,1,1,1,0,0,1,0,5,2,1,0,2,0,21,Mistral,6,21,0,21,1.0,1.9523809523809523,85.71428571428571,95.23809523809524,0.0,0.0,4.761904761904762
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run7.json,0,2,1,0,1,0,0,0,2,1,0,1,1,1,2,0,0,1,0,7,0,0,0,1,0,21,Mistral,7,21,0,20,1.05,2.5238095238095237,100.0,85.71428571428571,0.0,0.0,14.285714285714286
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run8.json,0,1,1,0,1,0,0,0,2,1,0,0,1,1,1,0,0,1,0,7,0,0,0,1,0,18,Mistral,8,18,0,17,1.0588235294117647,2.5,100.0,94.44444444444444,0.0,0.0,5.555555555555555
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Mistral_run9.json,0,1,1,0,1,0,0,0,2,1,0,0,1,1,1,0,0,1,0,7,0,0,0,1,0,18,Mistral,9,18,0,17,1.0588235294117647,2.5,100.0,94.44444444444444,0.0,0.0,5.555555555555555
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Qwen3_run1.json,1,2,0,0,4,0,0,0,2,2,0,0,1,7,3,0,0,0,0,5,3,3,0,2,0,35,Qwen3,1,35,0,34,1.0294117647058822,0.0,0.0,97.14285714285714,97.14285714285714,97.14285714285714,2.857142857142857
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Qwen3_run10.json,0,3,3,0,4,0,0,0,3,2,0,0,1,2,4,0,0,3,0,5,3,4,0,3,0,40,Qwen3,10,40,0,39,1.0256410256410255,0.625,32.5,100.0,100.0,100.0,0.0
81,0,0,81,20,0,0,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,0,29,100.0,213,213,0,Qwen3_run2.json,2,2,1,0,1,0,1,0,3,2,0,1,1,1,4,0,1,1,0,3,4,3,0,2,0,33,Qwen3,2,33,0,33,1.0,0.6060606060606061,6.0606060606060606,0.0,0.0,0.0,100.0
80,1,3,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,99.53,213,212,5,Qwen3_run3.json,0,6,0,0,4,0,0,0,7,2,0,0,1,10,7,0,0,1,0,7,4,6,0,3,0,58,Qwen3,3,58,0,55,1.0545454545454545,0.8275862068965517,25.862068965517242,100.0,100.0,100.0,0.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Qwen3_run4.json,0,3,2,0,2,0,0,0,4,1,0,0,1,1,4,0,0,2,0,7,2,3,0,1,0,33,Qwen3,4,33,0,32,1.03125,1.0303030303030303,42.42424242424242,0.0,0.0,0.0,100.0
70,11,1,81,20,0,1,20,60,2,0,62,14,0,0,14,7,0,0,7,27,2,1,29,92.96,213,198,3,Qwen3_run5.json,0,2,0,0,2,0,0,0,4,2,0,0,1,4,3,0,0,0,0,5,2,3,0,3,0,31,Qwen3,5,31,0,31,1.0,0.9032258064516129,38.70967741935484,100.0,0.0,0.0,0.0
64,17,2,81,20,0,1,20,60,2,0,62,14,0,0,14,7,0,0,7,29,0,1,29,91.08,213,194,4,Qwen3_run6.json,1,2,1,0,3,0,0,0,4,1,0,1,2,3,6,0,0,1,0,6,4,4,0,3,0,42,Qwen3,6,42,0,42,1.0,0.8095238095238095,30.952380952380953,0.0,0.0,0.0,100.0
81,0,1,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,3,Qwen3_run7.json,0,2,0,0,5,0,0,0,3,1,0,0,1,1,4,0,0,0,0,4,3,2,0,2,0,28,Qwen3,7,28,0,28,1.0,0.9285714285714286,50.0,0.0,0.0,0.0,100.0
81,0,2,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,100.0,213,213,4,Qwen3_run8.json,1,2,2,0,4,0,0,0,3,1,0,0,1,6,1,0,0,1,0,5,4,3,0,2,0,36,Qwen3,8,36,0,35,1.0285714285714285,0.9166666666666666,0.0,0.0,0.0,0.0,100.0
79,2,2,81,20,0,1,20,62,0,0,62,14,0,0,14,7,0,0,7,29,0,1,29,99.06,213,211,4,Qwen3_run9.json,0,2,3,0,0,0,0,0,3,0,0,0,1,2,4,0,0,3,0,7,5,4,0,3,0,37,Qwen3,9,37,0,35,1.0571428571428572,0.7297297297297297,43.24324324324324,100.0,100.0,100.0,0.0
